rssd9001,rssd9999,htm_securities,interest_income,total_assets,total_deposits,trading_assets,risk_weighted_assets,total_equity,afs_securities,interest_expense,net_interest_income,tier1_capital,tier1_ratio,equity_capital,noninterest_income_b,report_date,ticker,tier1_ratio_computed,tier1_ratio_final,equity_ratio,nim,trading_ratio,deposit_ratio,afs_ratio,htm_ratio,tier1_yoy,nim_change
1073757.0,2012-12-31,150471860,41474812,2212004452.0,2204597984.0,284875957.0,1206020320.0,237102784,49535693945.0,16742247,40680305,193993954,16.09,236955857,1974901668.0,2012-12-31,BAC,0.1608546313713852,16.09,0.1071891079539292,0.018390697615105884,0.1287863398025385,0.9966516938999361,22.39402994881495,0.06802511625324703,-0.09812468849174072,0.003354125391859213
1073757.0,2013-03-31,127237000,10824000,2176625000.0,2209075000.0,314171000.0,1298234000.0,237385000,48817230000.0,3437000,12382000,198390000,15.28,237293000,1939240000.0,2013-03-31,BAC,0.15281528599620717,15.28,0.10906104634468501,0.005688623442255786,0.14433859759949463,1.0149084017687935,22.427946936197095,0.05845609602021478,-0.05999614967524147,-0.012702074172850098
1073757.0,2013-06-30,135424000,21628000,2125686000.0,2182553000.0,283242000.0,1288207000.0,231101000,46502796000.0,6713000,23970000,193779000,15.04,231032000,1894585000.0,2013-06-30,BAC,0.15042535865742074,15.04,0.108718314934567,0.011276359725754415,0.1332473375653789,1.0267523049029819,21.87660642258546,0.06370837461412457,-0.06116235657313285,0.0055877362834986285
1073757.0,2013-09-30,138633000,32050000,2128706000.0,2129039000.0,280121000.0,1290329000.0,232379000,45408549000.0,9827000,34081000,194589000,15.08,232282000,1896327000.0,2013-09-30,BAC,0.1508057247415194,15.08,0.10916444074475291,0.016010195865469444,0.13159215034861554,1.000156433063091,21.33152675850963,0.06512547998643307,-0.03833901460332634,0.004733836139715029
1073757.0,2013-12-31,142350000,43002000,2104995000.0,2140902000.0,276875000.0,1297594000.0,232760000,43616890000.0,12755000,44298000,196568000,15.15,232685000,1872235000.0,2013-12-31,BAC,0.15148652043705504,15.15,0.11057508450138837,0.021044230508861065,0.13153237893676706,1.017057997762465,20.720662044327895,0.06762486371701595,0.013268691868613569,0.005034034643391621
1073757.0,2014-03-31,148044000,10242000,2152533000.0,2146815000.0,271136000.0,1282120000.0,231941000,42305755000.0,2850000,12072000,,,231888000,1920592000.0,2014-03-31,BAC,,,0.10775258730063604,0.005608276388794039,0.12596136737508787,0.9973435947323456,19.65394026479501,0.06877664593295434,-0.00918393064166545,-0.015435954120067026
1073757.0,2014-06-30,149767000,20422000,2172001000.0,2175487000.0,282383000.0,1284924000.0,237455000,43301850000.0,5778000,23393000,,,237411000,1934546000.0,2014-06-30,BAC,,,0.10932545611166845,0.010770252868207703,0.1300105294610822,1.0016049716367534,19.93638584880946,0.06895346733265777,0.014392684449811455,0.005161976479413664
1073757.0,2014-09-30,149843000,30819000,2126138000.0,2142184000.0,274243000.0,1271723000.0,238711000,43984034000.0,8417000,34279000,,,238681000,1887427000.0,2014-09-30,BAC,,,0.11227446195872516,0.01612265995904311,0.12898645337226464,1.0075470171738616,20.687290288777117,0.07047661064333548,0.010170153503024304,0.005352407090835407
1073757.0,2014-12-31,158461000,40631000,2106796000.0,2141074000.0,279455000.0,1261544000.0,243488000,41787306000.0,10934000,43296000,,,243471000,1863308000.0,2014-12-31,BAC,,,0.11557265155240469,0.020550637081141222,0.13264454650568921,1.0162702036647118,19.834528829559197,0.07521421153258312,0.0,0.0044279771220981125
1073757.0,2015-03-31,159569000,9610000,2145027000.0,2139504000.0,280437000.0,,250200000,34996090000.0,2513000,10889000,,,250188000,1894827000.0,2015-03-31,BAC,,,0.11664188842378208,0.005076392977804009,0.1307382144840135,0.9974252072351537,16.31498810970678,0.07439020581092919,0.0,-0.015474244103337214
1073757.0,2015-06-30,167311000,20257000,2152082000.0,2153297000.0,275438000.0,,251659000,33334037000.0,5156000,22478000,,,251659000,1900423000.0,2015-06-30,BAC,,,0.11693745870278177,0.010444769297824154,0.12798675886885352,1.0005645695656578,15.489203942972432,0.07774378485578151,0.0,0.005368376320020145
1073757.0,2015-09-30,174034000,29937000,2154342000.0,2172360000.0,261550000.0,,255907000,33196379000.0,7651000,32993000,,,255905000,1898435000.0,2015-09-30,BAC,,,0.11878661790931988,0.015314652919545736,0.12140597918065006,1.0083635745856507,15.409057150628824,0.080782902621775,0.0,0.004869883621721582
1073757.0,2015-12-31,175679000,39897000,2147391000.0,2183135000.0,241957000.0,,256205000,30971634000.0,10549000,41576000,,,256205000,1891186000.0,2015-12-31,BAC,,,0.11930989745230375,0.01936116897202233,0.11267486917845888,1.016645315175485,14.422913200250909,0.08181043880690568,0.0,0.0040465160524765925
1073757.0,2016-03-31,180435000,9362000,2188633000.0,2174617000.0,248748000.0,,262776000,31830669000.0,2523000,9187000,,,262776000,1925857000.0,2016-03-31,BAC,,,0.12006398514506543,0.004197597313025984,0.11365450488958176,0.9935960026189864,14.543630202048494,0.08244187125022788,0.0,-0.015163571658996344
1073757.0,2016-06-30,183235000,18789000,2189811000.0,2187082000.0,247635000.0,,267069000,31469482000.0,4978000,19878000,,,267069000,1922742000.0,2016-06-30,BAC,,,0.12195984036978534,0.009077495729083469,0.11308510186495548,0.9987537737275043,14.370866709501414,0.08367617113988376,0.0,0.004879898416057484
1073757.0,2016-09-30,190844000,31432000,2198884000.0,2187780000.0,254908000.0,,270083000,25647125000.0,7387000,31246000,,,270083000,1928801000.0,2016-09-30,BAC,,,0.12282730694297653,0.014209935585506102,0.11592607886546084,0.9949501656294739,11.663700768207873,0.08679129958651752,0.0,0.005132439856422633
1073757.0,2016-12-31,194104000,41955000,2189266000.0,2210525000.0,241052000.0,,266840000,24371757000.0,9695000,41285000,,,266840000,1922426000.0,2016-12-31,BAC,,,0.12188560001388593,0.01885791859006626,0.11010630960330997,1.0097105605257652,11.132387293275464,0.08866167930256076,0.0,0.004647983004560159
1073757.0,2017-03-31,206796000,11296000,2249046000.0,2235329000.0,261329000.0,,268153000,25991727000.0,2659000,11022000,,,268153000,1980893000.0,2017-03-31,BAC,,,0.11922966448885439,0.004900744582369591,0.1161954891096047,0.9939009695666519,11.556778740852788,0.09194831942076774,0.0,-0.013957174007696669
1073757.0,2017-06-30,201282000,22495000,2256095000.0,2271338000.0,270253000.0,,270987000,26928198000.0,5853000,22265000,,,270987000,1985108000.0,2017-06-30,BAC,,,0.12011329310157595,0.00986882201325742,0.11978795219172951,1.0067563644261435,11.935755364911495,0.08921698775982394,0.0,0.004968077430887829
1073757.0,2017-09-30,206018000,33877000,2285062000.0,2272259000.0,265071000.0,,272459000,26681223000.0,9425000,32578000,,,272459000,2012603000.0,2017-09-30,BAC,,,0.11923483914222022,0.014256943575272794,0.11600166647557046,0.9943970885691504,11.676367205791353,0.09015860401161982,0.0,0.0043881215620153735
1073757.0,2017-12-31,206268000,45571000,2281477000.0,2303906000.0,258907000.0,,267146000,21563809000.0,13103000,41427000,,,267146000,2014331000.0,2017-12-31,BAC,,,0.11709344429069414,0.0181579739791372,0.11348218719715342,1.0098309121678632,9.45168809503668,0.09040985291545783,0.0,0.0039010304038644052
1073757.0,2018-03-31,203812000,11807000,2328754000.0,2333070000.0,258614000.0,,266226000,25858317000.0,3990000,11416000,,,266224000,2062528000.0,2018-03-31,BAC,,,0.1143212207042908,0.004902192331177961,0.11105251993125938,1.001853351620652,11.103928109194873,0.08751976378784534,0.0,-0.01325578164795924
1073757.0,2018-06-30,206462000,23660000,2291858000.0,2332220000.0,260471000.0,,264253000,26181021000.0,8710000,22088000,,,264216000,2027605000.0,2018-06-30,BAC,,,0.11530077343360715,0.009637595348402911,0.11365058393670113,1.0176110387292756,11.423491769559893,0.0900849878133811,0.0,0.004735403017224951
1073757.0,2018-09-30,203005000,35747000,2338913000.0,2325946000.0,276220000.0,,262194000,26238229000.0,13805000,32694000,,,262158000,2076719000.0,2018-09-30,BAC,,,0.11210079212010024,0.013978288204819932,0.11809759490840403,0.9944559716415275,11.218129532821443,0.0867945921887646,0.0,0.004340692856417021
1073757.0,2018-12-31,212365000,48284000,2354980000.0,2343657000.0,265770000.0,,265362000,22505724000.0,19335000,42890000,,,265325000,2089618000.0,2018-12-31,BAC,,,0.11268121173003592,0.018212468895701873,0.11285446160901579,0.9951918912262524,9.556651861162303,0.09017698664107551,0.0,0.004234180690881941
1073757.0,2019-03-31,215889000,12567000,2377362000.0,2365495000.0,290022000.0,,267043000,27347254000.0,5793000,10466000,,,267010000,2110319000.0,2019-03-31,BAC,,,0.11232744529440615,0.00440235858064527,0.12199320086717967,0.9950083327654771,11.503193034969012,0.09081031832762533,0.0,-0.013810110315056603
1073757.0,2019-06-30,217980000,24951000,2396484000.0,2400795000.0,304461000.0,,271443000,29882616000.0,11830000,21164000,,,271408000,2125041000.0,2019-06-30,BAC,,,0.11326718642811719,0.008831271145561582,0.1270448707356277,1.0017988853670627,12.469357608897035,0.09095825384187835,0.0,0.004428912564916312
1073757.0,2019-09-30,222919000,37332000,2426330000.0,2410567000.0,314659000.0,,268418000,28617728000.0,17558000,31466000,,,268387000,2157912000.0,2019-09-30,BAC,,,0.11062716118582386,0.012968557450965038,0.12968516236455882,0.9935033569217707,11.794656126742858,0.09187497166502495,0.0,0.004137286305403456
