Date,MUFG,Mizuho,SMFG,SMTH,Resona,Chiba,Gunma,Suruga,Yamaguchi,Concordia,Hokuhoku,NK225,TOPIX,USDJPY,TPX_Banks
2024-11-11,1674.081298828125,3277.26318359375,3377.095458984375,3384.550048828125,1138.3013916015625,1204.8768310546875,923.6954956054688,1024.0164794921875,1490.29150390625,814.384765625,1707.265380859375,39533.3203125,2865.205078125,152.9040069580078,344.88665771484375
2024-11-12,1701.1439208984375,3308.876708984375,3416.13134765625,3401.505859375,1149.0079345703125,1150.7840576171875,991.6421508789062,1012.5213623046875,1515.5911865234375,820.5050659179688,1673.88427734375,39376.08984375,2862.212158203125,153.47999572753906,347.9244689941406
2024-11-13,1695.9212646484375,3338.57421875,3423.748291015625,3374.188232421875,1162.634521484375,1154.135009765625,979.2882690429688,999.1104736328125,1521.3194580078125,822.417724609375,1663.2412109375,38721.66015625,2831.285400390625,154.65499877929688,348.0194091796875
2024-11-14,1707.3160400390625,3382.641357421875,3440.885986328125,3457.082763671875,1191.347412109375,1153.1776123046875,984.0397338867188,981.867919921875,1539.458740234375,813.81103515625,1686.946533203125,38535.69921875,2825.79833984375,155.4290008544922,350.9623107910156
2024-11-15,1732.0047607421875,3606.809814453125,3460.880126953125,3442.01123046875,1212.7606201171875,1148.869384765625,965.03369140625,984.74169921875,1549.483154296875,850.5328979492188,1726.1328125,38642.91015625,2835.27587890625,156.46800231933594,357.1328430175781
2024-11-18,1719.1856689453125,3584.776123046875,3387.568603515625,3423.171142578125,1167.98779296875,1148.869384765625,973.1112670898438,967.4991455078125,1541.8455810546875,844.2213134765625,1703.39501953125,38220.8515625,2816.321044921875,154.66400146484375,353.05078125
2024-11-19,1750.521240234375,3673.868408203125,3499.916259765625,3458.966796875,1191.834228515625,1162.2728271484375,983.5645751953125,985.6996459960938,1558.5528564453125,848.4290771484375,1719.3599853515625,38414.4296875,2835.27587890625,154.61700439453125,360.36053466796875
2024-11-20,1724.408203125,3638.42333984375,3441.838134765625,3433.533203125,1187.94091796875,1138.816650390625,965.5088500976562,961.7515869140625,1511.2950439453125,830.0681762695312,1689.365478515625,38352.33984375,2824.302001953125,154.71800231933594,356.18353271484375
2024-11-21,1714.9124755859375,3686.322265625,3426.6044921875,3475.922607421875,1209.840576171875,1150.305419921875,989.7415771484375,956.0040893554688,1514.636474609375,829.7811889648438,1715.4896240234375,38026.171875,2804.349365234375,155.2949981689453,356.18353271484375
2024-11-22,1732.9542236328125,3673.868408203125,3487.538818359375,3525.847900390625,1214.2205810546875,1152.6988525390625,995.9185791015625,949.298583984375,1542.80029296875,844.8907470703125,1716.4571533203125,38283.8515625,2817.8173828125,154.21800231933594,359.69598388671875
2024-11-25,1733.9039306640625,3658.540771484375,3530.38330078125,3505.1240234375,1244.3935546875,1173.7615966796875,1017.3004150390625,978.994140625,1540.890869140625,880.4651489257812,1748.3868408203125,38780.140625,2836.273681640625,154.14599609375,360.64532470703125
2024-11-26,1703.9925537109375,3594.35595703125,3426.6044921875,3431.649169921875,1202.0540771484375,1147.4332275390625,1002.5706787109375,966.5411987304688,1504.6121826171875,851.776123046875,1693.2357177734375,38442.0,2816.321044921875,154.3780059814453,353.4305114746094
2024-11-27,1678.8291015625,3544.540771484375,3408.514892578125,3391.14404296875,1193.7808837890625,1145.039794921875,1000.6700439453125,963.6674194335938,1485.9954833984375,849.9591674804688,1687.430419921875,38134.96875,2790.88134765625,153.00900268554688,349.538330078125
2024-11-28,1679.303955078125,3568.490234375,3471.353271484375,3489.1103515625,1195.7275390625,1148.869384765625,1010.173095703125,958.8778076171875,1499.838623046875,841.543701171875,1685.4951171875,38349.05859375,2812.330322265625,151.33599853515625,351.43695068359375
2024-11-29,1701.61865234375,3625.01123046875,3509.437255859375,3528.673583984375,1216.6539306640625,1197.217529296875,1035.3560791015625,970.3728637695312,1517.97802734375,858.47021484375,1729.5191650390625,38208.03125,2797.86474609375,151.1739959716797,356.5632629394531
2024-12-02,1734.378662109375,3716.02001953125,3639.874755859375,3579.540771484375,1262.88671875,1236.9493408203125,1057.213134765625,1014.4371337890625,1566.6678466796875,891.1757202148438,1817.567626953125,38513.01953125,2838.268798828125,149.8979949951172,366.0564270019531
2024-12-03,1747.6724853515625,3760.087158203125,3684.62353515625,3620.988037109375,1265.8067626953125,1239.3428955078125,1064.340576171875,1021.142578125,1580.5111083984375,895.57470703125,1859.656494140625,39248.859375,2872.1884765625,149.50799560546875,369.4739685058594
2024-12-04,1718.7108154296875,3649.9189453125,3578.9404296875,3534.32568359375,1211.787353515625,1212.05712890625,1039.1573486328125,1009.6476440429688,1535.1627197265625,870.4239501953125,1831.59716796875,39276.390625,2860.715576171875,149.64700317382812,361.6895751953125
2024-12-05,1727.731689453125,3663.33056640625,3604.64697265625,3581.4248046875,1212.27392578125,1224.98193359375,1058.638671875,1014.4371337890625,1531.3438720703125,877.0223999023438,1878.040283203125,39395.6015625,2862.7109375,150.56700134277344,362.9236755371094
